trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
41,False,"{'a': 0.75, 'e': 0.9968017063026194}",25,0,-167.58699979313306,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
42,False,"{'a': 0.75, 'e': 0.9966398834184859}",20,0,-56.72084794247727,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
43,False,"{'a': 0.75, 'e': 0.9964740739761475}",20,0,-57.54774587014095,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
44,False,"{'a': 0.75, 'e': 0.996304278638842}",30,0,-161.16356586097996,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
45,False,"{'a': 0.75, 'e': 0.9961304980857502}",25,0,-194.625818725809,"{0: 10, 1: 4, 2: 7, 3: 2, 4: 2}",0
46,False,"{'a': 0.75, 'e': 0.9959527330119943}",20,0,-132.33251304080395,"{0: 6, 1: 7, 2: 6, 3: 0, 4: 1}",0
47,False,"{'a': 0.75, 'e': 0.9957709841286342}",25,0,-143.63154687187523,"{0: 11, 1: 3, 2: 10, 3: 0, 4: 1}",0
48,False,"{'a': 0.75, 'e': 0.9955852521626654}",20,0,-77.79402756335455,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
49,False,"{'a': 0.75, 'e': 0.9953955378570153}",20,0,-88.50320164695884,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
50,False,"{'a': 0.75, 'e': 0.995201841970541}",20,0,-64.74308408760676,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
